Date,Time,Latitude,Longitude,Magnitude,Epicenter
2011-12-08,5:40 PM,27.97,82.86,4.0,Pyuthan
2011-12-09,10:57 PM,27.83,88.13,4.0,Taplejung
2011-12-14,8:20 PM,27.72,88.09,4.0,Taplejung
2011-12-18,9:35 PM,27.73,88.16,4.0,Taplejung
2011-12-30,2:10 AM,29.62,81.53,4.0,Bajura
2012-01-11,8:59 AM,28.89,81.89,4.0,Dailekh
2012-01-18,11:16 AM,26.63,86.4,4.0,Siraha
2012-01-19,12:46 AM,29.73,81.91,4.0,Humla
2012-01-24,4:07 AM,26.84,86.43,4.0,Siraha
2012-02-05,8:06 PM,27.25,88.07,4.0,Panchthar
2012-02-14,1:41 PM,27.38,88.11,4.0,Taplejung-Sikkim Border
2012-02-14,1:48 PM,27.33,88.03,4.0,Taplejung
2012-02-26,10:56 PM,29.71,81.02,4.0,Bajhang-Darchula border
2012-02-26,11:08 PM,29.86,81.05,4.0,Bajhang-Darchula border
2012-03-19,8:36 PM,28.7,82.02,4.0,Karkigaun-Jajarkot
2012-03-27,11:40 PM,26.12,87.87,5.0,Jhapa-India Border Region
2012-04-11,2:52 AM,29.55,81.24,4.0,Bajhang
2012-04-17,11:13 PM,28.5,82.06,4.0,Salyan
2012-05-30,9:34 AM,27.31,87.88,4.0,Taplejung
2012-06-09,7:54 AM,28.32,84.17,5.0,Kaski
2012-06-11,4:35 AM,27.25,88,4.0,Panchthar - Sikkim border
2012-06-15,4:15 PM,28.99,81.58,4.0,Dailekh
2012-07-01,7:54 AM,27.27,88.05,4.0,Panchthar - Sikkim border
2012-07-11,5:23 PM,29.43,81.03,4.0,Southern Bajhang
2012-07-28,5:48 AM,30.12,80.54,5.0,India (close to Darchula)
2012-07-31,11:50 AM,28.58,82.48,5.0,Southern Rukum
2012-07-31,11:58 AM,28.53,82.42,4.0,Southern Rukum
2012-07-31,12:05 PM,28.55,82.37,4.0,Southern Rukum
2012-08-06,1:53 AM,27.77,88.13,4.0,Northern Taplejung
2012-08-23,4:30 PM,28.38,82.84,5.0,Rolpa - Rukum border region
2012-08-23,4:42 PM,28.39,82.73,4.0,Rolpa
2012-08-24,12:17 AM,28.38,82.66,4.0,Rolpa
2012-08-24,3:55 AM,28.42,82.75,5.0,Rolpa-Rukum border region
2012-08-28,8:31 AM,28.73,81.81,4.0,Southeastern Dailekh 
2012-08-29,7:54 PM,28.4,82.79,4.0,Northern Rolpa
2012-08-30,2:11 PM,28.61,82.43,4.0,Southern Rukum
2012-09-17,9:45 AM,28.59,82.41,4.0,Southern Rukum
2012-10-22,6:56 AM,27.95,87.86,4.0,Around Kanchanjunga
2012-11-11,6:39 PM,29.51,81.13,5.0,Southern Bajhang
2012-11-12,12:42 PM,29.55,81.31,4.0,Bajhang
2012-12-04,3:01 AM,28.88,82.34,4.0,North East Jajarkot
2012-12-22,6:05 AM,28.27,82.84,4.0,Rolpa and Pyuthan border
2013-01-02,5:42 PM,29.41,81,4.0,Bajhang and Doti border
2013-01-09,7:44 AM,29.82,81.7,5.0,Northern part of Bajura
2013-01-13,5:35 PM,26.84,86.22,4.0,Siraha
2013-01-18,8:59 PM,29.48,81.26,4.0,Bajhang
2013-02-07,1:08 AM,29.42,81.05,4.0,Bajhang
2013-02-22,2:41 AM,28.39,83.18,4.0,Baglung
2013-03-06,4:49 PM,28.57,82.27,5.0,Rukum
2013-03-17,11:59 AM,26.74,86.08,4.0,Dhanusha
2013-04-28,6:28 PM,29.87,81.26,4.0,Northern Bajhang
2013-05-14,3:13 AM,29.56,82,4.0,Mugu
2013-05-14,3:18 AM,29.68,82,4.0,Mugu
