time,latitude,longitude,depth,mag
2024-08-03T16:28:42.087Z,30.1145,86.9044,10,4.3
2024-07-13T22:49:33.854Z,30.0913,86.9812,10,4.5
2024-07-10T19:49:26.988Z,29.7368,86.7891,14.586,4.1
2024-05-28T01:13:06.793Z,29.7381,81.0068,26.184,4.3
2024-03-06T04:25:08.225Z,30.4045,80.6613,10,4.2
2024-02-26T11:29:31.815Z,29.6188,88.0921,89.466,4.4
2024-01-12T17:47:29.479Z,29.522,81.1253,22.599,4.3
2024-01-07T18:46:35.171Z,27.9221,86.6116,10,4.2
2024-01-07T14:28:32.992Z,28.0886,86.3806,10,4.5
2024-01-07T14:08:34.933Z,28.0794,86.4237,10,4.1
2023-12-31T16:36:23.043Z,27.727,85.799,22.322,4.6
2023-12-04T19:04:15.283Z,27.8117,87.8388,70.467,4.4
2023-11-27T22:15:46.743Z,28.6795,87.7852,74.708,4.7
2023-11-22T19:34:26.202Z,27.6889,85.1323,10,3.8
2023-11-20T05:52:27.597Z,29.5224,81.1707,10,4.4
2023-11-06T10:46:39.805Z,28.8564,82.0652,10,5.3
2023-11-03T22:31:34.600Z,28.976,82.2728,10,4
2023-11-03T18:44:39.613Z,28.8332,81.9912,10,4.1
2023-11-03T18:02:53.465Z,28.858,82.1531,12,5.7
2023-10-22T11:46:45.520Z,27.8519,84.646,26.661,4
2023-10-22T01:54:21.100Z,27.8879,84.7252,25.706,5.2
2023-10-18T16:18:48.676Z,29.6681,81.357,10,4.5
2023-10-16T03:41:40.294Z,30.0924,80.7774,10,4.2
2023-10-12T20:06:44.075Z,29.5722,81.2129,10,4.4
2023-10-11T18:37:21.967Z,29.5869,81.1801,10,4.8
2023-10-07T06:00:01.972Z,29.5133,81.2055,10,5
2023-10-03T23:58:04.608Z,29.7245,81.2904,10,4.3
2023-10-03T19:05:41.024Z,29.5231,81.1691,10,4.4
2023-10-03T11:53:17.879Z,29.5106,81.1706,10,4.5
2023-10-03T11:34:10.972Z,29.5637,81.257,10,4.8
2023-10-03T09:33:05.019Z,29.3074,81.1092,10,4.2
2023-10-03T09:28:43.898Z,29.2397,81.2051,10,4.8
2023-10-03T09:21:03.018Z,29.4973,81.242,13,5.7
2023-10-03T08:55:50.480Z,29.459,81.2188,10,4.9
2023-08-18T17:49:38.408Z,28.2888,87.1512,79.496,4.3
2023-08-05T20:04:11.934Z,30.2183,80.7013,10,4.3
2023-06-12T01:53:56.728Z,29.71,81.5777,27.16,4.3
2023-05-23T22:21:48.564Z,29.6551,81.2484,10,4.3
2023-05-06T08:01:03.160Z,28.9028,86.6245,42.645,4.3
2023-04-27T19:45:53.627Z,29.6212,81.5483,10,5.1
2023-04-27T18:13:51.853Z,29.5729,81.5302,10,4.5
2023-04-08T14:44:49.140Z,28.6582,86.7146,68.028,4.3
2023-04-01T05:42:20.397Z,27.6685,86.1761,10,4.5
2023-03-24T04:06:24.411Z,29.6326,81.828,30.882,4.2
2023-03-02T08:12:56.235Z,28.3307,87.3045,10,4
2023-02-26T07:06:04.699Z,29.7352,81.127,10,4.3
2023-02-22T08:00:22.588Z,29.6254,81.5737,20.937,4.8
2023-02-12T22:45:05.505Z,27.986,88.0003,60.903,4
2023-01-24T08:58:33.123Z,29.5825,81.6638,33.11,5.4
2022-12-27T20:22:03.128Z,28.4898,83.1553,18.597,4.6
2022-12-27T19:38:12.218Z,28.926,83.6137,24.596,4
2022-12-23T01:31:21.071Z,28.4999,83.1015,10,4.5
2022-12-23T01:30:55.904Z,28.5471,83.0809,10,4.2
2022-11-12T14:27:05.131Z,29.3523,81.1777,10,5.2
2022-11-09T23:28:02.358Z,29.352,81.1564,10,4.3
2022-11-09T00:57:14.321Z,29.9803,80.2903,22.974,4.4
2022-11-08T20:27:22.316Z,29.2917,81.1593,11,5.7
2022-11-08T15:22:35.973Z,29.3448,81.1922,10,4.7
2022-11-07T23:07:22.073Z,28.9207,86.6701,10,4.2
2022-11-06T16:28:40.298Z,27.9764,88.2153,10,4
2022-10-30T03:41:50.868Z,29.5573,81.0921,10,4.5
2022-10-19T10:08:35.308Z,27.8248,86.0362,22.2,4.2
2022-10-19T09:22:40.123Z,27.894,86.0386,23.943,4.9
2022-08-19T19:42:42.048Z,28.0619,81.1968,10,4.9
2022-08-05T23:41:04.059Z,27.7936,84.9833,10,4.4
2022-07-31T02:28:08.777Z,27.1316,86.7827,10,5.1
2022-07-25T00:22:09.402Z,27.8961,85.5825,10,4.3
2022-07-10T14:04:39.640Z,29.6405,80.8736,10,4.2
2022-06-22T22:11:46.712Z,28.3742,83.8247,10,4.6
2022-06-10T20:51:21.586Z,27.7199,85.4181,15.03,3.6
2022-05-21T02:45:09.223Z,28.2186,86.2888,70.83,4.2
2022-05-11T04:33:11.628Z,29.9682,80.4219,33.06,4.9
2022-04-09T18:38:37.466Z,28.8085,86.5315,10,4.2
2022-01-24T19:38:59.306Z,29.9803,80.3548,10,4
2022-01-13T03:13:54.822Z,28.8094,87.6854,10,4.1
2022-01-06T18:29:13.484Z,27.8305,82.8074,10,4.4
2021-12-29T19:08:19.232Z,29.9056,80.3449,10,4.5
2021-12-18T00:29:25.240Z,28.5625,87.5592,10,4
2021-12-08T04:23:25.024Z,28.8093,87.5826,41.26,4.2
2021-11-05T01:48:32.008Z,28.8267,87.4455,10,5
2021-10-18T10:32:14.377Z,28.7052,87.2852,10,4.7
2021-10-18T08:11:56.258Z,27.8507,85.7193,10,4.2
2021-10-18T08:01:37.426Z,27.901,85.8004,10,4.3
2021-10-15T10:35:42.737Z,28.9582,87.6528,10,4.1
2021-10-01T07:09:27.899Z,27.694,86.111,10,4.5
2021-09-12T14:56:15.922Z,27.4834,85.9978,10,4.4
2021-07-25T15:09:21.630Z,27.3429,88.3092,10,4.5
2021-06-21T10:06:50.953Z,29.2822,87.124,10,4.3
2021-05-25T20:46:06.127Z,28.9684,86.3755,10,4.5
2021-05-19T16:54:29.784Z,28.2544,84.3876,10,4.5
2021-05-19T02:41:38.847Z,28.3088,84.3042,10,4.9
2021-05-18T23:57:58.646Z,28.2785,84.3373,10,5.3
2021-04-22T03:08:52.099Z,30.3858,87.1751,10,4.1
2021-03-16T13:16:08.835Z,30.1485,86.3698,10,4.6
2021-02-27T20:03:45.862Z,28.8397,86.469,15.43,4.1
2021-02-09T01:50:07.207Z,28.0331,87.8568,35,4.3
2021-02-04T05:06:23.654Z,28.7463,87.3785,10,5.1
2021-02-02T16:14:13.363Z,28.8039,84.0135,29.41,4.5
2021-02-02T02:31:13.845Z,28.8225,87.362,8.7,5
2021-01-11T13:59:49.235Z,28.028,87.7888,35,4.1
2020-11-23T13:41:45.202Z,28.5808,87.2271,10,4.4
2020-11-23T13:36:04.648Z,27.5457,87.0358,27.68,4.5
2020-11-21T21:49:21.520Z,30.1884,88.1002,10,4.5
2020-11-08T21:44:14.394Z,27.7299,87.7713,10,4.1
2020-10-28T18:34:26.731Z,29.4069,80.8988,10,4.2
2020-09-15T23:34:03.386Z,27.8464,85.8765,10,5.3
2020-09-11T03:45:52.880Z,27.2464,87.7715,10,4.4
2020-08-25T15:24:34.342Z,29.556,80.9299,10,4.3
2020-08-23T17:07:43.232Z,30.3934,87.5035,10,4.5
2020-07-29T20:54:26.858Z,28.4107,88.3259,10,4.1
